Gender,Income Type,Annual Income,Employment Duration,Education Level,Approved
Male,Business,102568.51,7.0,Bachelor's,1
Female,Business,69838.99,29.7,Bachelor's,1
Male,Self-Employed,84323.71,3.0,High School,0
Male,Student,22601.53,0.6,Master's,0
Male,Salaried,12428.69,19.8,Bachelor's,1
Female,Salaried,39178.13,10.7,High School,0
Male,Pensioner,33951.55,0.0,Bachelor's,0
Male,Salaried,69999.67,8.0,Bachelor's,1
Male,Business,100429.7,0.8,High School,0
Female,Pensioner,46714.82,0.0,Doctorate,0
Male,Salaried,35998.94,2.0,Master's,0
Male,Pensioner,16405.87,0.0,Bachelor's,0
Male,Salaried,68087.52,3.3,Bachelor's,0
Male,Self-Employed,12000.0,0.8,Bachelor's,0
Female,Self-Employed,115203.26,7.2,Master's,1
Male,Pensioner,28913.05,0.0,Master's,0
Female,Salaried,101811.04,4.5,Bachelor's,1
Female,Salaried,17581.88,0.9,Master's,0
Female,Self-Employed,102336.95,0.9,Bachelor's,1
Male,Business,131944.97,5.3,Bachelor's,1
Female,Self-Employed,25373.65,25.2,Master's,1
Male,Salaried,88142.05,0.6,Bachelor's,1
Female,Salaried,65033.3,2.0,Bachelor's,0
Female,Salaried,18666.98,12.2,Bachelor's,0
Female,Business,79786.52,0.5,Bachelor's,0
Female,Salaried,90008.1,12.5,Bachelor's,1
Female,Salaried,46966.2,4.5,Master's,1
Female,Student,9993.0,1.9,Bachelor's,0
Female,Salaried,14997.1,2.2,Master's,0
Female,Student,24078.05,1.9,Bachelor's,0
Male,Self-Employed,69097.92,2.2,Bachelor's,0
Male,Business,65761.56,13.0,Doctorate,1
Female,Salaried,43502.8,7.7,Bachelor's,1
Female,Salaried,89287.83,6.6,High School,1
Female,Business,80926.83,9.6,Bachelor's,1
Male,Business,90744.17,1.8,Bachelor's,1
Female,Business,61305.91,5.8,High School,0
Male,Salaried,83077.41,3.7,Master's,1
Male,Business,51630.49,9.2,Doctorate,1
Male,Business,126614.56,2.2,Bachelor's,1
Male,Self-Employed,40623.63,6.2,Master's,0
Male,Business,128158.92,12.8,Master's,1
Female,Business,66046.64,3.1,Bachelor's,1
Female,Self-Employed,23734.67,0.4,High School,0
Female,Salaried,106042.38,4.4,High School,1
Female,Salaried,68777.04,2.5,High School,0
Female,Salaried,90533.72,6.7,High School,1
Male,Salaried,101715.68,18.1,Bachelor's,1
Female,Salaried,75138.67,4.0,Bachelor's,1
Female,Salaried,47232.77,3.8,High School,0
Male,Salaried,94271.4,6.4,High School,1
Female,Salaried,65022.67,0.7,Bachelor's,0
Male,Business,85575.73,1.8,Bachelor's,1
Female,Pensioner,45874.98,0.0,Master's,0
Male,Salaried,78409.45,6.7,High School,1
Female,Student,17938.79,1.1,Master's,0
Female,Self-Employed,114599.29,1.4,Doctorate,1
Male,Salaried,83692.62,6.9,Bachelor's,1
Male,Salaried,72195.73,8.7,Bachelor's,1
Male,Self-Employed,79589.3,11.0,Master's,1
Male,Business,35046.77,2.1,High School,0
Male,Business,113697.7,16.0,Doctorate,1
Male,Salaried,124741.11,4.8,Master's,1
Male,Salaried,76787.41,7.2,Bachelor's,1
Male,Salaried,112712.11,5.4,Bachelor's,1
Female,Salaried,47925.55,0.8,Bachelor's,0
Female,Salaried,41086.59,19.8,Bachelor's,1
Male,Salaried,66227.74,0.8,Bachelor's,0
Female,Business,78048.23,1.8,Bachelor's,1
Female,Pensioner,45436.59,0.0,High School,0
Female,Salaried,81133.05,5.8,Bachelor's,1
Female,Pensioner,42156.4,0.0,Bachelor's,0
Male,Salaried,35050.8,4.4,Bachelor's,0
Female,Salaried,80563.79,2.8,High School,0
Male,Salaried,90905.85,15.3,High School,1
Female,Self-Employed,70144.08,0.2,Bachelor's,0
Female,Student,24645.19,1.3,Bachelor's,0
Female,Self-Employed,28477.89,1.6,High School,0
Male,Salaried,79038.51,11.3,Master's,1
Female,Self-Employed,29891.58,0.9,Master's,0
Male,Salaried,31577.56,5.2,Bachelor's,0
Female,Pensioner,38998.68,0.0,High School,0
Male,Self-Employed,36738.19,3.8,Bachelor's,0
Female,Salaried,48560.13,8.2,Bachelor's,1
Male,Self-Employed,58575.49,9.8,Doctorate,1
Male,Self-Employed,90114.63,8.0,Bachelor's,1
Female,Salaried,55365.23,15.6,Bachelor's,1
Male,Self-Employed,17431.23,3.6,Master's,0
Female,Salaried,99202.04,1.1,High School,1
Female,Business,39887.3,0.3,High School,0
Female,Business,63238.39,1.7,Bachelor's,0
Female,Business,78396.1,0.9,High School,0
Female,Self-Employed,70988.31,4.9,High School,0
Female,Self-Employed,97825.39,1.2,Bachelor's,1
Female,Salaried,79370.09,0.2,Bachelor's,0
Female,Business,,0.2,Bachelor's,0
Female,Salaried,130356.87,10.7,Master's,1
Female,Salaried,70830.0,5.4,Bachelor's,1
Female,Salaried,60579.79,2.7,High School,0
Male,Salaried,93917.76,13.5,High School,1
Male,Self-Employed,72483.53,0.4,High School,0
Female,Salaried,76976.85,23.6,High School,1
Female,Business,139765.52,5.7,High School,1
Female,Salaried,56746.36,1.2,Bachelor's,0
Female,Salaried,55467.17,6.8,Bachelor's,1
Female,Self-Employed,68497.36,8.6,Bachelor's,1
Female,Salaried,97145.48,3.4,Master's,1
Female,Salaried,19803.98,11.9,Master's,1
Female,Business,12000.0,1.0,Bachelor's,0
Male,Salaried,47386.54,2.0,High School,0
Female,Business,15982.31,0.6,Bachelor's,0
Male,Salaried,52255.06,1.4,Bachelor's,0
Female,Salaried,80074.99,1.6,High School,0
Female,Business,38277.53,15.0,Master's,1
Male,Salaried,22195.2,0.5,Bachelor's,0
Female,Salaried,67080.11,3.3,High School,0
Male,Salaried,90876.3,4.6,Master's,1
Female,Salaried,14150.8,13.7,Master's,1
Female,Business,89606.97,36.4,Bachelor's,1
Male,Salaried,89519.19,8.4,Bachelor's,1
Female,Business,93622.55,21.2,Bachelor's,1
Male,Pensioner,49141.87,0.0,Bachelor's,0
Female,Salaried,131060.42,19.8,High School,1
Male,Pensioner,17008.6,0.0,Bachelor's,0
Male,Salaried,68287.15,0.5,Doctorate,1
Female,Student,14029.18,0.3,Bachelor's,0
Female,Salaried,65059.31,6.2,Master's,1
Male,Self-Employed,110986.2,2.6,Doctorate,1
Female,Salaried,24649.57,1.9,Bachelor's,0
Female,Salaried,39168.51,5.2,Master's,1
Female,Self-Employed,106315.43,16.3,High School,1
Male,Business,95601.1,0.2,Bachelor's,1
Male,Salaried,54106.05,8.8,Master's,1
Male,Salaried,90632.06,7.7,High School,1
Male,Business,75236.48,19.9,Bachelor's,1
Male,Self-Employed,110008.24,16.0,Master's,1
Male,Student,20654.7,0.8,Bachelor's,0
Male,Business,95768.96,4.4,High School,1
Male,Student,24521.9,0.3,High School,0
Male,Business,82942.97,4.7,Bachelor's,1
Female,Salaried,66479.84,8.7,Doctorate,1
Male,Salaried,86673.41,13.6,Master's,1
Female,Business,54041.57,9.4,Bachelor's,1
Female,Self-Employed,136639.03,1.3,Bachelor's,1
Female,Salaried,70402.13,5.5,Bachelor's,1
Male,Salaried,56812.0,2.4,High School,0
Male,Student,,0.6,Bachelor's,0
Male,Self-Employed,97916.61,1.3,Bachelor's,1
Male,Salaried,91015.62,0.7,Bachelor's,1
Female,Salaried,50079.37,11.1,Doctorate,1
Male,Salaried,82293.54,1.8,Bachelor's,1
Male,Salaried,19743.32,2.0,Bachelor's,0
Male,Salaried,70549.12,19.3,High School,1
Male,Salaried,78582.69,2.9,Doctorate,1
Male,Business,116219.89,0.1,Master's,1
Female,Salaried,41875.44,2.0,Master's,0
Male,Business,26649.42,0.8,Bachelor's,0
Female,Pensioner,24616.08,0.0,Bachelor's,0
Male,Salaried,24902.94,0.5,Bachelor's,0
Female,Self-Employed,105099.72,5.4,High School,1
Male,Salaried,111459.18,1.3,Bachelor's,1
Male,Pensioner,35277.73,0.0,Master's,0
Female,Salaried,101638.85,11.9,High School,1
Female,Self-Employed,69018.75,3.3,High School,0
Female,Self-Employed,62146.65,14.8,Bachelor's,1
Male,Salaried,55008.87,4.1,Bachelor's,1
Female,Salaried,55688.27,3.1,Bachelor's,0
Male,Self-Employed,18565.95,8.3,Bachelor's,0
Male,Business,72927.64,0.5,Bachelor's,0
Female,Salaried,63789.98,0.6,Master's,0
Female,Self-Employed,87360.82,6.3,Bachelor's,1
Male,Salaried,67805.7,4.0,Master's,1
Male,Business,60118.89,9.4,Master's,1
Female,Salaried,38864.21,14.9,Master's,1
Female,Pensioner,17052.0,0.0,High School,0
Female,Salaried,87147.12,5.4,High School,1
Male,Salaried,30699.83,4.2,High School,0
Male,Salaried,67624.21,24.0,Bachelor's,1
Male,Salaried,71991.29,10.7,Master's,1
Male,Self-Employed,43458.06,14.6,Bachelor's,1
Male,Salaried,47364.31,1.8,Master's,0
Male,Business,71918.33,8.9,Bachelor's,1
Female,Salaried,30997.37,1.9,Bachelor's,0
Male,Salaried,75497.71,1.4,Master's,1
Male,Salaried,38139.37,17.3,Bachelor's,1
Male,Salaried,96885.61,0.1,Master's,1
Female,Salaried,135134.83,20.2,High School,1
Male,Salaried,39177.3,1.0,Master's,0
Male,Salaried,81026.24,10.3,Bachelor's,1
Female,Salaried,43197.74,1.9,Master's,0
Male,Self-Employed,96228.63,2.6,High School,1
Male,Self-Employed,27042.25,1.5,Bachelor's,0
Male,Salaried,79417.6,5.3,Master's,1
Male,Salaried,38810.33,2.6,Master's,0
Male,Student,19915.95,0.3,High School,0
Female,Self-Employed,34069.24,0.1,Bachelor's,0
Female,Self-Employed,89670.51,0.4,Bachelor's,0
Female,Salaried,39890.59,0.6,High School,0
Male,Business,,3.3,Bachelor's,1
Male,Business,54677.06,10.1,High School,0
Male,Self-Employed,61565.83,13.1,Bachelor's,1
Female,Student,9710.29,0.4,Bachelor's,0
Male,Salaried,42145.26,5.1,Bachelor's,0
Male,Salaried,71311.01,8.8,Bachelor's,1
Female,Business,110910.04,2.0,Doctorate,1
Male,Business,41657.16,3.2,High School,0
Female,Salaried,100154.3,4.5,Bachelor's,1
Female,Salaried,109942.93,0.9,High School,1
Female,Salaried,40515.35,0.2,Bachelor's,0
Male,Salaried,21348.36,1.0,High School,0
Male,Business,74058.83,5.9,High School,0
Male,Self-Employed,48577.77,0.5,Bachelor's,0
Male,Salaried,121058.1,1.3,Bachelor's,1
Male,Salaried,66044.23,2.5,Master's,0
Male,Salaried,40934.02,0.5,Bachelor's,0
Male,Salaried,30585.21,1.3,Doctorate,0
Female,Self-Employed,97697.15,14.5,Bachelor's,1
Male,Student,6866.02,1.6,High School,0
Female,Business,66314.86,6.4,Bachelor's,1
Male,Salaried,93674.08,2.9,Bachelor's,1
Male,Pensioner,30311.58,0.0,Bachelor's,0
Male,Business,63622.14,5.3,Bachelor's,1
Female,Business,64502.95,1.5,Bachelor's,0
Female,Salaried,85499.74,11.3,Bachelor's,1
Female,Salaried,82722.33,4.1,High School,0
Female,Salaried,58396.59,10.4,High School,1
